Grain #,,Area,equivalent_diameter,orientation,MajorAxisLength,MinorAxisLength,Perimeter,MinIntensity,MeanIntensity,MaxIntensity
47,,5.0,2.5231325220201604,-2.23358032934264,2.9590286347861667,2.2145314489786583,7.310660171779821,145.0,174.5,199.0
48,,4.5,2.393653682408596,86.45472351097827,3.5488822364607837,1.5469612770592414,7.121320343559643,136.0,148.77777777777777,157.0
49,,14.25,4.259537945889915,-8.49587915003978,5.920906958581554,3.2939200218556177,15.363961030678926,121.0,144.35087719298247,166.0
50,,45.25,7.590394548326596,13.237168845494125,9.414712513747508,6.618686325826966,28.8492424049175,111.0,146.72375690607734,170.0
51,,5.75,2.7057581899030048,-6.1612505218179034,3.333640804401902,2.1761457335774375,7.707106781186548,145.0,163.30434782608697,177.0
52,,21.5,5.232078956954491,-24.49540694238911,5.729451179027965,4.910920745373578,16.535533905932738,103.0,173.90697674418604,227.0
53,,66.5,9.201653640780462,-9.338198827115566,12.355368252456046,7.621314256888945,35.3492424049175,105.0,139.50375939849624,163.0
54,,49.25,7.918778161951929,11.13403343982612,13.285800325194897,5.334227832330085,32.8492424049175,111.0,136.87309644670052,164.0
55,,99.5,11.255546841497692,67.27044949228588,15.087536033682998,9.178276229829404,43.8492424049175,109.0,158.98492462311557,195.0
56,,19.5,4.982787485166879,88.5301199075601,7.434232338274589,3.600593519923267,17.82842712474619,113.0,142.51282051282053,171.0
57,,13.0,4.068428945128219,62.77536886480158,4.678755022303556,3.682851266763778,12.949747468305834,110.0,135.28846153846155,145.0
58,,20.75,5.140011726956917,59.73304840694307,7.437593643749119,4.638596170135699,21.899494936611664,115.0,142.7710843373494,165.0
59,,10.0,3.5682482323055424,-1.301506217377352e-15,3.861346915261565,3.3166247903554003,10.414213562373096,110.0,131.025,147.0
60,,6.5,2.876813695875796,-6.692593936879418,3.9023902571945723,2.1197272871001913,8.707106781186548,131.0,148.5,162.0
61,,10.0,3.5682482323055424,-18.43495541459913,3.9370039370059056,3.24037034920393,10.414213562373096,114.0,143.05,159.0
62,,5.75,2.7057581899030048,83.83878165895713,3.333640804401902,2.1761457335774375,7.707106781186548,132.0,146.91304347826087,164.0
63,,16.0,4.51351666838205,-27.88992968083557,5.56376938071196,3.8426748451764756,15.242640687119286,105.0,145.578125,176.0
64,,21.25,5.201570947860099,36.00835929318294,8.911797192054502,3.2165137607489602,20.31370849898476,111.0,175.45882352941177,226.0
65,,24.75,5.613615477764332,-65.73932272315724,7.5849289933682975,4.28103188067278,19.363961030678926,116.0,154.24242424242425,194.0
66,,20.0,5.046265044040321,-46.24683864186658,5.387475073633321,4.829284349774782,16.242640687119284,112.0,142.0125,187.0
67,,20.0,5.046265044040321,-85.18652872906547,6.2768165538540925,4.185728604348738,16.77817459305202,124.0,138.8125,170.0
68,,10.0,3.5682482323055424,35.16240571236692,5.4047384671670695,2.7547780494124297,12.449747468305834,120.0,138.0,150.0
69,,6.75,2.9316150714175193,27.223945645593165,3.9054980798025225,2.266419976218868,8.949747468305834,137.0,165.4814814814815,187.0
70,,4.5,2.393653682408596,0.0,3.415650255319866,1.632993161855452,7.0,132.0,154.38888888888889,170.0
71,,25.0,5.641895835477563,-68.48683913562121,8.080652768334094,4.366629230609638,21.899494936611667,137.0,155.81,173.0
72,,5.25,2.5854414729132054,15.128223991073508,3.251109839785704,2.0662253210195316,7.414213562373095,139.0,154.52380952380952,166.0
73,,8.5,3.2897623212397704,-60.48189989218917,3.7242265028187758,3.0313298212358872,10.535533905932738,113.0,136.38235294117646,147.0
74,,3.75,2.1850968611841584,0.0,2.8284271247461903,1.632993161855452,6.0,149.0,163.33333333333334,176.0
75,,52.25,8.156394191823509,67.49140697754592,12.387744889290405,5.957256200679271,32.50304832720494,103.0,154.74641148325358,200.0
76,,12.25,3.949327084834294,21.47316646888783,4.567736632307317,3.5653600174053794,12.535533905932738,120.0,130.57142857142858,141.0
77,,3.5,2.111004122822376,35.514808794575224,2.370123448722665,1.8830242016334868,5.707106781186548,131.0,140.28571428571428,146.0
78,,35.75,6.746726148605861,-73.76168811075877,8.784006028213396,6.484582157119365,26.417261889578036,114.0,150.88111888111888,191.0
79,,10.0,3.5682482323055424,-55.83788211489522,3.8145753003355347,3.3729090230941696,10.535533905932738,112.0,135.725,153.0
80,,5.0,2.5231325220201604,10.67080434739674,3.534328607331222,1.9231539967980065,8.017766952966369,135.0,144.4,150.0
81,,41.0,7.225151993843567,13.494468578334459,9.974483552733776,5.604969775531297,26.31370849898476,108.0,142.85365853658536,162.0
82,,7.5,3.0901936161855166,-66.95956184900106,3.572953939219756,3.1252733450927717,10.242640687119284,127.0,159.9,199.0
83,,11.5,3.826519928662906,-85.42058581714507,4.705378191888212,3.188955154105261,12.535533905932738,118.0,138.84782608695653,152.0
84,,22.25,5.322553886092406,-18.652019997157186,7.061416321756342,4.679534783247037,19.67462120245875,100.0,138.4943820224719,169.0
85,,3.75,2.1850968611841584,-39.23815317820388,2.700185936669772,1.8850571216425336,6.414213562373095,124.0,146.8,159.0
86,,11.0,3.742410318509555,-86.30023352791653,5.067910370930051,2.89095257419924,12.121320343559644,113.0,145.77272727272728,169.0
87,,34.0,6.579524642479541,63.20775696003536,8.977787218809146,5.236255130878903,24.363961030678926,100.0,146.06617647058823,173.0
88,,16.0,4.51351666838205,1.8999055981922341,5.1547331763610735,4.207161781477208,14.949747468305834,104.0,139.921875,179.0
89,,4.0,2.256758334191025,73.51532433470526,3.1968291120440724,1.624702627679142,6.121320343559643,135.0,143.25,150.0
90,,8.25,3.2410224072142872,-13.572159164585097,3.8451125853197645,2.7632731562181454,9.82842712474619,121.0,137.5151515151515,151.0
